datetime,load
2024-01-04 04:30:00,1835.77
2024-01-04 04:35:00,1853.91
2024-01-04 04:40:00,1861.99
2024-01-04 04:45:00,1886.04
2024-01-04 04:50:00,1898.14
2024-01-04 04:55:00,1915.64
2024-01-04 05:00:00,1941.79
2024-01-04 05:05:00,1989.11
2024-01-04 05:10:00,2025.89
2024-01-04 05:15:00,2057.2
2024-01-04 05:20:00,2107.34
2024-01-04 05:25:00,2136.87
2024-01-04 05:30:00,2185.28
2024-01-04 05:35:00,2227.62
2024-01-04 05:40:00,2270.19
2024-01-04 05:45:00,2328.68
2024-01-04 05:50:00,2377.91
2024-01-04 05:55:00,2415.59
2024-01-04 06:00:00,2513.98
2024-01-04 06:05:00,2585.96
2024-01-04 06:10:00,2657.54
2024-01-04 06:15:00,2773.31
2024-01-04 06:20:00,2841.16
2024-01-04 06:25:00,2879.16
2024-01-04 06:30:00,2957.36
2024-01-04 06:35:00,3059.84
2024-01-04 06:40:00,3150.8
2024-01-04 06:45:00,3195.18
2024-01-04 06:50:00,3285.54
2024-01-04 06:55:00,3323.31
2024-01-04 07:00:00,3395.79
2024-01-04 07:05:00,3460.22
2024-01-04 07:10:00,3570.97
2024-01-04 07:15:00,3630.18
2024-01-04 07:20:00,3709.5
2024-01-04 07:25:00,3758.35
2024-01-04 07:30:00,3878.13
2024-01-04 07:35:00,3906.78
2024-01-04 07:40:00,4023.37
2024-01-04 07:45:00,4067.57
2024-01-04 07:50:00,4125.82
2024-01-04 07:55:00,4176.01
2024-01-04 08:00:00,4225.07
2024-01-04 08:05:00,4279.21
2024-01-04 08:10:00,4351.45
2024-01-04 08:15:00,4365.92
2024-01-04 08:20:00,4410.74
2024-01-04 08:25:00,4436.02
2024-01-04 08:30:00,4430.73
2024-01-04 08:35:00,4477.04
2024-01-04 08:40:00,4536.4
2024-01-04 08:45:00,4567.79
2024-01-04 08:50:00,4597.89
2024-01-04 08:55:00,4613.42
2024-01-04 09:00:00,4628.09
2024-01-04 09:05:00,4596.65
2024-01-04 09:10:00,4662.04
2024-01-04 09:15:00,4785.68
2024-01-04 09:20:00,4811.64
2024-01-04 09:25:00,4909.25
2024-01-04 09:30:00,4945.1
2024-01-04 09:35:00,4919.5
2024-01-04 09:40:00,4953.13
2024-01-04 09:45:00,4982.4
2024-01-04 09:50:00,4985.38
2024-01-04 09:55:00,5066.28
2024-01-04 10:00:00,5074.53
2024-01-04 10:05:00,5090.01
2024-01-04 10:10:00,5098.38
2024-01-04 10:15:00,5084.08
2024-01-04 10:20:00,5160.28
2024-01-04 10:25:00,5154.46
2024-01-04 10:30:00,5208.81
2024-01-04 10:35:00,5214.15
2024-01-04 10:40:00,5204.19
2024-01-04 10:45:00,5221.35
2024-01-04 10:50:00,5112.47
2024-01-04 10:55:00,5163.55
2024-01-04 11:00:00,5159.62
2024-01-04 11:05:00,5179.81
2024-01-04 11:10:00,5117.24
2024-01-04 11:15:00,5141.5
2024-01-04 11:20:00,5121.16
2024-01-04 11:25:00,5120.84
2024-01-04 11:30:00,5092.01
2024-01-04 11:35:00,5067.59
2024-01-04 11:40:00,5067.79
2024-01-04 11:45:00,5068.74
2024-01-04 11:50:00,5089.94
2024-01-04 11:55:00,5018.41
2024-01-04 12:00:00,5018.67
2024-01-04 12:05:00,5018.21
2024-01-04 12:10:00,4972.71
2024-01-04 12:15:00,4952.26
2024-01-04 12:20:00,4952.2
2024-01-04 12:25:00,4971.9
2024-01-04 12:30:00,4924.21
2024-01-04 12:35:00,4854.68
2024-01-04 12:40:00,4845.96
2024-01-04 12:45:00,4838.62
2024-01-04 12:50:00,4816.68
2024-01-04 12:55:00,4796.11
2024-01-04 13:00:00,4697.21
2024-01-04 13:05:00,4659.7
2024-01-04 13:10:00,4587.91
2024-01-04 13:15:00,4551.77
2024-01-04 13:20:00,4530.07
2024-01-04 13:25:00,4548.57
2024-01-04 13:30:00,4481.19
2024-01-04 13:35:00,4501.68
2024-01-04 13:40:00,4508.58
2024-01-04 13:45:00,4535.22
2024-01-04 13:50:00,4493.86
2024-01-04 13:55:00,4535.18
2024-01-04 14:00:00,4513.7
2024-01-04 14:05:00,4483.48
2024-01-04 14:10:00,4514.14
2024-01-04 14:15:00,4486.11
2024-01-04 14:20:00,4465.51
2024-01-04 14:25:00,4517.26
2024-01-04 14:30:00,4420.67
2024-01-04 14:35:00,4503.14
2024-01-04 14:40:00,4476.65
2024-01-04 14:45:00,4416.41
2024-01-04 14:50:00,4414.62
2024-01-04 14:55:00,4397.2
2024-01-04 15:00:00,4359.39
2024-01-04 15:05:00,4392.63
2024-01-04 15:10:00,4379.63
2024-01-04 15:15:00,4336.72
2024-01-04 15:20:00,4347.02
2024-01-04 15:25:00,4291.83
2024-01-04 15:30:00,4323.73
2024-01-04 15:35:00,4289.98
2024-01-04 15:40:00,4296.07
2024-01-04 15:45:00,4303.53
2024-01-04 15:50:00,4264.19
2024-01-04 15:55:00,4230.42
2024-01-04 16:00:00,4262.71
2024-01-04 16:05:00,4289.14
2024-01-04 16:10:00,4216.03
2024-01-04 16:15:00,4208.39
2024-01-04 16:20:00,4202.01
2024-01-04 16:25:00,4163.14
2024-01-04 16:30:00,4180.74
2024-01-04 16:35:00,4176.24
2024-01-04 16:40:00,4203.88
2024-01-04 16:45:00,4186.72
2024-01-04 16:50:00,4213.42
2024-01-04 16:55:00,4203.12
2024-01-04 17:00:00,4288.99
2024-01-04 17:05:00,4271.03
2024-01-04 17:10:00,4292.52
2024-01-04 17:15:00,4296.24
2024-01-04 17:20:00,4329.39
2024-01-04 17:25:00,4353.33
2024-01-04 17:30:00,4413.09
2024-01-04 17:35:00,4401.33
2024-01-04 17:40:00,4388.42
2024-01-04 17:45:00,4422.69
2024-01-04 17:50:00,4451.94
2024-01-04 17:55:00,4436.46
2024-01-04 18:00:00,4441.19
2024-01-04 18:05:00,4469.62
2024-01-04 18:10:00,4446.09
2024-01-04 18:15:00,4466.06
2024-01-04 18:20:00,4468.74
2024-01-04 18:25:00,4458.31
2024-01-04 18:30:00,4441.18
2024-01-04 18:35:00,4437.01
2024-01-04 18:40:00,4406.46
2024-01-04 18:45:00,4426.53
2024-01-04 18:50:00,4387.55
2024-01-04 18:55:00,4368.84
2024-01-04 19:00:00,4384.24
2024-01-04 19:05:00,4338.36
2024-01-04 19:10:00,4287.39
2024-01-04 19:15:00,4353.38
2024-01-04 19:20:00,4293.03
2024-01-04 19:25:00,4307.28
2024-01-04 19:30:00,4249.58
2024-01-04 19:35:00,4229.65
2024-01-04 19:40:00,4250.28
2024-01-04 19:45:00,4170.19
2024-01-04 19:50:00,4187.57
